,Unnamed: 0,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,매출액증가율,유형자산증가율,재고자산증가율,비유동자산증가율,유동자산증가율,자기자본증가율,총자본증가율,순이익증가율,매출액총이익률,매출액순이익률,자기자본순이익률,총자본사업이익률,총자본순이익률,1주당매출액,1주당순이익,유동비율,당좌비율,현금비율,순운전자본비율,부채비율,이자보상배율이자비용,비유동비율,유동자산구성비율,자기자본구성비율,자기자본배율,총자본회전률,자기자본회전률,비유동자산회전률,재고자산회전률,매출채권회전률,매입채무회전률,매입채무회전기간,재고자산회전기간,매출채권회전기간,1회전기간,운전자본회전률,순운전자본회전률,유형자산회전율,유동자산회전률,당좌자산회전률,부가가치,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,label,pred_label
1294,8095,한양디지텍(주),78350,2011-12-01,2004-05-14,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-19.97,-0.44,33.97,0.63,0.63,0.63,-5.5,0.0,7.27,-0.62,-1.44,0.11,-0.78,8711.13,-54.0,61.61,45.12,10.39,-12.84,79.23,0.03,142.29,20.61,55.79,749.11,1.26,2.33,1.64,26.93,11.73,5.73,63.65,13.55,31.12,0.0,0.03,2.11,2.23,5.46,6.85,11641.98,17.34,29.97,147.78,13.36,53.68,46.32,-4.62,0.0,
1295,8096,한양디지텍(주),78350,2012-12-01,2004-05-14,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-11.33,-39.15,16.91,-10.82,-10.82,-10.82,1.69,0.0,8.08,-4.0,-8.71,-2.5,-4.56,7724.3,-309.0,73.25,57.95,11.67,-11.09,104.07,-2.62,142.09,30.37,49.0,669.02,1.14,2.18,1.53,19.23,8.62,5.8,62.91,18.98,42.34,0.0,0.05,1.81,2.47,4.47,5.82,9649.48,14.14,40.72,198.66,12.49,90.99,9.01,-32.0,0.0,
1296,8105,한양이엔지(주),45100,2011-12-01,2000-08-31,,5,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",32.77,19.94,144.21,25.61,25.61,25.61,-2.73,61.93,9.18,5.61,24.93,11.48,10.17,21625.61,1221.0,109.86,109.19,10.7,4.47,124.94,13.71,112.77,49.87,44.46,1045.57,1.81,4.44,4.08,861.26,7.9,6.32,57.75,0.42,46.2,0.0,0.0,1.71,10.88,3.26,3.27,71386.78,33.73,196.46,1927.42,18.34,51.55,48.45,30.58,0.0,
1297,8106,한양이엔지(주),45100,2012-12-01,2000-08-31,,5,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",-23.15,-3.36,22.09,5.86,5.86,5.86,2.88,-64.98,8.82,2.54,7.75,6.18,3.54,16619.33,430.0,108.13,107.33,21.22,3.64,110.92,7.14,108.8,48.41,47.41,1147.56,1.39,3.03,2.74,420.07,6.3,6.09,59.9,0.87,57.98,0.0,0.0,1.48,7.8,2.84,2.86,63655.22,29.23,170.96,1945.3,21.28,69.88,30.12,11.95,0.0,
1298,8116,한일단조공업(주),24740,2011-12-01,1996-11-29,,5,  자동차 및 트레일러 제조업,34.66,9.67,42.85,10.78,10.78,10.78,15.75,-68.42,11.99,1.14,2.11,3.11,0.78,9765.18,141.0,99.05,52.63,7.16,-0.38,133.0,1.55,141.21,39.39,42.92,1307.54,0.68,1.48,1.1,4.06,4.23,10.58,34.5,90.0,86.25,0.01,0.0,0.9,1.2,1.79,3.21,22184.19,10.99,21.2,44.73,17.27,53.42,46.58,6.6,0.0,
1299,8117,한일단조공업(주),24740,2012-12-01,1996-11-29,,5,  자동차 및 트레일러 제조업,9.07,1.36,1.11,1.04,1.04,1.04,4.49,0.0,9.17,-1.71,-2.53,1.44,-1.16,10651.16,-167.0,105.54,60.0,14.42,2.17,151.79,0.64,147.57,41.39,39.71,1268.11,0.68,1.64,1.14,3.74,4.33,10.69,34.15,97.61,84.33,0.01,0.0,0.85,1.24,1.68,3.05,19865.32,9.42,17.73,38.01,14.18,64.06,35.94,-12.08,0.0,
1300,8126,한일사료(주),5860,2011-12-01,1994-11-07,,5,  식료품 제조업,16.75,-0.4,14.7,0.13,0.13,0.13,15.15,39.2,12.36,1.3,5.41,5.11,1.91,6513.85,85.0,91.33,49.16,20.9,-5.05,196.77,2.73,139.08,53.13,33.7,319.86,1.47,4.15,2.93,5.98,21.07,52.2,6.99,61.07,17.33,0.01,0.0,1.38,3.21,2.95,5.81,13943.44,9.2,21.67,329.04,6.7,48.74,51.26,19.44,0.0,
1301,8127,한일사료(주),5860,2012-12-01,1994-11-07,,5,  식료품 제조업,16.07,-3.08,8.1,-1.87,-1.87,-1.87,-1.97,60.55,9.77,1.8,8.26,1.98,2.9,7560.33,136.0,95.51,46.84,12.38,-2.49,173.4,0.88,128.26,53.09,36.58,340.36,1.61,4.58,3.43,6.24,18.67,63.4,5.76,58.5,19.55,0.01,0.0,1.46,3.79,3.03,5.89,16623.19,11.19,26.57,405.08,6.89,47.33,52.67,26.17,0.0,
1302,8136,한일화학공업(주),7770,2011-12-01,1992-09-07,,5,  화학물질 및 화학제품 제조업; 의약품 제외,-3.1,3.16,-27.53,3.14,3.14,3.14,-2.67,0.0,3.93,-0.48,-0.66,0.08,-0.52,33613.31,-159.0,377.56,257.7,51.72,33.29,26.95,-0.16,69.46,45.29,78.77,4772.86,1.09,1.39,2.06,6.49,6.25,50.32,7.25,56.28,58.36,0.01,0.0,1.85,2.31,2.34,3.65,6882.05,6.47,13.44,181.89,5.83,80.35,19.65,-8.15,0.0,
1303,8137,한일화학공업(주),7770,2012-12-01,1992-09-07,,5,  화학물질 및 화학제품 제조업; 의약품 제외,-15.45,0.47,18.58,0.25,0.25,0.25,-2.33,0.0,5.44,0.01,0.01,0.91,0.01,28421.41,2.0,408.39,245.8,43.48,33.11,25.65,1.26,70.57,43.84,79.58,4709.78,0.95,1.2,1.71,5.97,5.46,46.3,7.88,61.13,66.91,0.01,0.0,1.7,1.92,2.13,3.31,8425.39,8.11,16.35,199.73,8.45,69.79,30.21,0.1,0.0,
